# Team 0: Quantum Bluff, Team 1: LeTeam
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
71,Pre-Flop,1,85,-85,FOLD,0,"['8d', 'Ad']","['4s', '2s']","['5s', '6s']",,,1,1
72,Pre-Flop,0,86,-86,RAISE,2,"['8d', 'Ah']","['6s', '5d']","['8h', '4s']",,,1,1
72,Pre-Flop,1,86,-86,FOLD,0,"['8d', 'Ah']","['6s', '5d']","['8h', '4s']",,,2,2
73,Pre-Flop,1,88,-88,FOLD,0,"['8s', '2h']","['As', '6s']","['2s', '9d']",,,1,1
74,Pre-Flop,0,89,-89,RAISE,2,"['5d', '4h']","['7h', '2d']","['2h', '6s']",,,1,1
74,Pre-Flop,1,89,-89,FOLD,0,"['5d', '4h']","['7h', '2d']","['2h', '6s']",,,2,2
75,Pre-Flop,1,91,-91,FOLD,0,"['7h', '2h']","['8h', '7s']","['4h', '5s']",,,1,1
76,Pre-Flop,0,92,-92,RAISE,2,"['7h', '8h']","['2d', '5d']","['5h', '8d']",,,1,1
76,Pre-Flop,1,92,-92,FOLD,0,"['7h', '8h']","['2d', '5d']","['5h', '8d']",,,2,2
77,Pre-Flop,1,94,-94,FOLD,0,"['6s', '9d']","['8s', '5s']","['8h', '2d']",,,1,1
78,Pre-Flop,0,95,-95,FOLD,0,"['2h', '6d']","['8h', '4d']","['5d', 'Ah']",,,1,1
79,Pre-Flop,1,94,-94,FOLD,0,"['8h', 'As']","['6s', '5h']","['6h', '7s']",,,1,1
80,Pre-Flop,0,95,-95,RAISE,2,"['8d', '6h']","['8s', '5s']","['2h', '6d']",,,1,1
80,Pre-Flop,1,95,-95,FOLD,0,"['8d', '6h']","['8s', '5s']","['2h', '6d']",,,2,2
81,Pre-Flop,1,97,-97,FOLD,0,"['6h', '2d']","['6s', '7d']","['3s', 'Ah']",,,1,1
82,Pre-Flop,0,98,-98,FOLD,0,"['5s', '2h']","['6d', '4s']","['8d', '8s']",,,1,1
83,Pre-Flop,1,97,-97,RAISE,98,"['6s', '3d']","['Ah', '8h']","['Ad', '8s']",,,1,1
83,Pre-Flop,0,97,-97,FOLD,0,"['6s', '3d']","['Ah', '8h']","['Ad', '8s']",,,2,2
84,Pre-Flop,0,95,-95,FOLD,0,"['2h', '3d']","['8h', '9s']","['9d', '4h']",,,1,1
85,Pre-Flop,1,94,-94,FOLD,0,"['5s', '2d']","['8d', '7d']","['3h', '3s']",,,1,1
86,Pre-Flop,0,95,-95,RAISE,2,"['7h', '4s']","['As', '9d']","['9s', '8d']",,,1,1
86,Pre-Flop,1,95,-95,FOLD,0,"['7h', '4s']","['As', '9d']","['9s', '8d']",,,2,2
87,Pre-Flop,1,97,-97,FOLD,0,"['5h', '8s']","['2d', '4d']","['2s', '4h']",,,1,1
88,Pre-Flop,0,98,-98,CALL,0,"['9d', '9h']","['2s', '6s']","['Ad', '7h']",,,1,1
88,Pre-Flop,1,98,-98,CHECK,0,"['9d', '9h']","['2s', '6s']","['Ad', '7h']",,,2,2
88,Flop,0,98,-98,RAISE,2,"['9d', '9h']","['2s', '6s']","['Ad', '7h', '3s']",,,2,2
88,Flop,1,98,-98,FOLD,0,"['9d', '9h']","['2s', '6s']","['Ad', '7h', '3s']",,,2,2
89,Pre-Flop,1,100,-100,FOLD,0,"['9s', '9d']","['6d', '5h']","['7h', '3s']",,,1,1
90,Pre-Flop,0,101,-101,RAISE,2,"['9d', '2s']","['9s', 'Ad']","['5s', '5h']",,,1,1
90,Pre-Flop,1,101,-101,FOLD,0,"['9d', '2s']","['9s', 'Ad']","['5s', '5h']",,,2,2
91,Pre-Flop,1,103,-103,FOLD,0,"['9h', '6h']","['3d', '3s']","['7h', '8s']",,,1,1
