# Team 0: AllInAgent, Team 1: PlayerAgent
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
17,Turn,0,1003,-1003,CHECK,0,"['6h', 'Ah']","['7d', '2d']","['5h', '9s', '3s', '6s']",,8d,100,100
17,River,1,1003,-1003,CHECK,0,"['6h', 'Ah']","['7d', '2d']","['5h', '9s', '3s', '6s', '3d']",,8d,100,100
17,River,0,1003,-1003,CHECK,0,"['6h', 'Ah']","['7d', '2d']","['5h', '9s', '3s', '6s', '3d']",,8d,100,100
18,Pre-Flop,0,1103,-1103,RAISE,98,"['9s', 'Ad']","['6s', '2h']","['As', '2s']",,,1,1
18,Pre-Flop,1,1103,-1103,FOLD,0,"['9s', 'Ad']","['6s', '2h']","['As', '2s']",,,2,2
19,Pre-Flop,1,1105,-1105,DISCARD,0,"['9h', '5s']","['5h', '2s']","['3s', '3d']",,,1,1
19,Pre-Flop,1,1105,-1105,RAISE,68,"['9h', '5s']","['2d', '2s']","['3s', '3d']",,5h,1,1
19,Pre-Flop,0,1105,-1105,RAISE,30,"['9h', '5s']","['2d', '2s']","['3s', '3d']",,5h,2,2
19,Pre-Flop,1,1105,-1105,CALL,0,"['9h', '5s']","['2d', '2s']","['3s', '3d']",,5h,70,70
19,Pre-Flop,0,1105,-1105,CHECK,0,"['9h', '5s']","['2d', '2s']","['3s', '3d']",,5h,100,100
19,Flop,1,1105,-1105,CHECK,0,"['9h', '5s']","['2d', '2s']","['3s', '3d', '8h']",,5h,100,100
19,Flop,0,1105,-1105,CHECK,0,"['9h', '5s']","['2d', '2s']","['3s', '3d', '8h']",,5h,100,100
19,Turn,1,1105,-1105,CHECK,0,"['9h', '5s']","['2d', '2s']","['3s', '3d', '8h', 'Ah']",,5h,100,100
19,Turn,0,1105,-1105,CHECK,0,"['9h', '5s']","['2d', '2s']","['3s', '3d', '8h', 'Ah']",,5h,100,100
19,River,1,1105,-1105,CHECK,0,"['9h', '5s']","['2d', '2s']","['3s', '3d', '8h', 'Ah', '9d']",,5h,100,100
19,River,0,1105,-1105,CHECK,0,"['9h', '5s']","['2d', '2s']","['3s', '3d', '8h', 'Ah', '9d']",,5h,100,100
20,Pre-Flop,0,1205,-1205,RAISE,98,"['3h', '8h']","['2d', '9s']","['5d', '6d']",,,1,1
20,Pre-Flop,1,1205,-1205,FOLD,0,"['3h', '8h']","['2d', '9s']","['5d', '6d']",,,2,2
21,Pre-Flop,1,1207,-1207,CALL,0,"['2s', '9h']","['7h', '3h']","['6h', '8s']",,,1,1
21,Pre-Flop,0,1207,-1207,RAISE,98,"['2s', '9h']","['7h', '3h']","['6h', '8s']",,,2,2
21,Pre-Flop,1,1207,-1207,FOLD,0,"['2s', '9h']","['7h', '3h']","['6h', '8s']",,,2,2
22,Pre-Flop,0,1209,-1209,RAISE,98,"['3h', 'Ad']","['5d', '6s']","['6h', '9d']",,,1,1
22,Pre-Flop,1,1209,-1209,CALL,0,"['3h', 'Ad']","['5d', '6s']","['6h', '9d']",,,2,2
22,Flop,0,1209,-1209,CHECK,0,"['3h', 'Ad']","['5d', '6s']","['6h', '9d', '2s']",,,100,100
22,Flop,1,1209,-1209,CHECK,0,"['3h', 'Ad']","['5d', '6s']","['6h', '9d', '2s']",,,100,100
22,Turn,0,1209,-1209,CHECK,0,"['3h', 'Ad']","['5d', '6s']","['6h', '9d', '2s', '2h']",,,100,100
22,Turn,1,1209,-1209,FOLD,0,"['3h', 'Ad']","['5d', '6s']","['6h', '9d', '2s', '2h']",,,100,100
23,Pre-Flop,1,1309,-1309,RAISE,39,"['8s', '2d']","['8h', '7s']","['3s', '9d']",,,1,1
23,Pre-Flop,0,1309,-1309,RAISE,59,"['8s', '2d']","['8h', '7s']","['3s', '9d']",,,2,2
23,Pre-Flop,1,1309,-1309,DISCARD,0,"['8s', '2d']","['8h', '7s']","['3s', '9d']",,,41,41
23,Pre-Flop,1,1309,-1309,FOLD,0,"['8s', '2d']","['8d', '7s']","['3s', '9d']",,8h,41,41
24,Pre-Flop,0,1350,-1350,RAISE,98,"['4h', '2d']","['8s', '8h']","['Ah', '2s']",,,1,1
24,Pre-Flop,1,1350,-1350,FOLD,0,"['4h', '2d']","['8s', '8h']","['Ah', '2s']",,,2,2
25,Pre-Flop,1,1352,-1352,DISCARD,0,"['7d', '6d']","['3d', 'Ad']","['5h', '8s']",,,1,1
25,Pre-Flop,1,1352,-1352,CALL,0,"['7d', '6d']","['3d', '4h']","['5h', '8s']",,Ad,1,1
25,Pre-Flop,0,1352,-1352,RAISE,98,"['7d', '6d']","['3d', '4h']","['5h', '8s']",,Ad,2,2
25,Pre-Flop,1,1352,-1352,CALL,0,"['7d', '6d']","['3d', '4h']","['5h', '8s']",,Ad,2,2
25,Pre-Flop,0,1352,-1352,CHECK,0,"['7d', '6d']","['3d', '4h']","['5h', '8s']",,Ad,100,100
25,Flop,1,1352,-1352,FOLD,0,"['7d', '6d']","['3d', '4h']","['5h', '8s', '2s']",,Ad,100,100
26,Pre-Flop,0,1452,-1452,RAISE,98,"['8s', '6d']","['6s', '2d']","['3d', '2h']",,,1,1
26,Pre-Flop,1,1452,-1452,CALL,0,"['8s', '6d']","['6s', '2d']","['3d', '2h']",,,2,2
